編號,科目,主題,七大原則,繁體中文,英文全名,英文縮寫,英文發音,核心目標,核心原理,定義,用途,應用場景,氣象與防災,農業漁業與畜牧,交通與物流,生產與製造（工業4.0）,科技金融與醫學,客服零售與生活,消防與公共安全
1,"初科一

中科一",AI 基礎,永續發展與福祉,人工智慧,Artificial Intelligence,AI,FALSE,模擬人類智慧,機器學習與推理,賦予機器學習、推理與決策能力的技術總稱 。,執行需人類智慧的任務,醫療輔助診斷、自動駕駛 。,氣象預報：自駕系統結合即時路面積水/能見度警示,智慧耕作：農場自駕拖拉機自動施肥/犁田,自駕與輔助：自駕公車測試、ADAS駕駛輔助、疲勞駕駛偵測（核心場景）,製程優化：工廠內自駕AGV物料搬運,智慧醫療：醫學影像輔助判讀（X光/MRI）、新藥開發篩選、個人化健康管家（核心場景）,智慧生活：健康管家APP個人化衛教建議,消防：救災傷患傷勢快速評估輔助
2,初科一,AI 分類,永續發展與福祉,狹義人工智慧,Narrow AI,ANI,FALSE,特定任務優化,弱人工智慧範式,專門執行單一特定任務（如翻譯、辨識）的 AI 。,解決特定領域問題,語音助手、人臉辨識系統。,,畜牧管理：牛隻個體臉部識別追蹤（乳牛個體健康管理）,自駕與輔助：疲勞駕駛臉部特徵偵測（眼皮閉合角度）,製程優化：廠區人員身份核驗，防止未授權進入,金融科技：ATM/網銀人臉身份核實；健康管家：情緒健康狀態辨識,智慧零售：販賣機顧客年齡/性別分析精準推薦,公共安全：協尋失蹤/通緝人員特徵比對；刑事案件追查
3,初科一,AI 分類,永續發展與福祉,通用人工智慧,Artificial General Intelligence,AGI,FALSE,跨領域認知能力,全能智慧模擬,具備與人類相當、能解決多樣問題的假設性智慧系統 。,實現全方位人類智慧,未來具備自主思考能力的機器人。,,,,,,,
4,初科一,AI 分類,永續發展與福祉,超級人工智慧,Artificial Super Intelligence,ASI,FALSE,超越人類智能,智慧爆發,在所有領域都遠超人類智慧的假設性 AI 。,科幻與理論研究,目前僅存在於理論探討中。,,,,,,,
5,初科一,AI 評測,透明與可解釋,圖靈測試,Turing Test,-,FALSE,行為模仿辨識,模仿遊戲,衡量機器是否具有智慧，若人類分不出對手是人或機器則通過 。,判定機器是否具備智慧表現,聊天機器人的人性化程度測試。,,,,,,,
6,"初科一

中科一",AI 範式,透明與可解釋,符號人工智慧,Symbolic AI,-,FALSE,基於邏輯與規則,規則引擎(GOFAI),透過人工定義的邏輯規則進行推理的早期 AI 範式 。,邏輯推論與專家系統,法律諮詢系統、早期的醫療診斷 。,,,,,智慧醫療：醫學影像輔助判讀（X光/MRI）、新藥開發篩選、個人化健康管家（核心場景）,智慧生活：健康管家APP個人化衛教建議,消防：救災傷患傷勢快速評估輔助
7,初科一,AI 範式,透明與可解釋,專家系統,Expert System,-,FALSE,知識推理,知識庫+推理引擎,利用專家經驗建構的規則庫（IF-THEN）來解決專業問題 。,模擬專家決策過程,專業醫療診斷、財務審計系統 。,,,,,智慧醫療：醫學影像輔助判讀（X光/MRI）、新藥開發篩選、個人化健康管家（核心場景）,智慧生活：健康管家APP個人化衛教建議,消防：救災傷患傷勢快速評估輔助
8,初科一,數位轉型,永續發展與福祉,數位分身,Digital Twin,-,FALSE,實體虛擬同步,即時監測與模擬,建立實體資產的數位模型，進行即時監測與預測 。,預測性維護與優化,智慧工廠設備監測、都市規劃模擬。,環境監控：城市洪水數位分身（模擬不同降雨量下的淹水範圍）,精準養殖：魚塭水體數位分身（模擬投料/換水對水質影響）,智慧交通：城市交通數位分身（模擬路網改建後的車流影響）,製程優化：工廠設備數位分身（模擬不同排程的產能與能耗）；預測性維護,半導體：晶圓廠製程數位分身（模擬蝕刻參數對良率影響）,智慧生活：供應鏈數位分身（模擬缺貨衝擊）,智慧消防：建築物數位分身（模擬火災蔓延路徑與逃生規劃）
9,"初科二

中科一",生成式 AI,永續發展與福祉,大型語言模型,Large Language Model,LLM,FALSE,文本理解與生成,變壓器架構(Transformer),基於海量文本訓練，具備自然語言理解與生成能力的大型模型。,對話、摘要、創意寫作,客服機器人、程式碼自動補全。,氣象預報：氣象報告文字自動生成；環境：民眾災害問答AI助理,智慧耕作：農民農業技術問答機器人；農業政策法規文件摘要,智慧物流：貨運文件智動摘要；客服：運輸問題AI即時回覆,製程優化：設備操作手冊問答系統；品質報告自動撰寫,金融科技：Robo-advisor個人化理財建議；智慧醫療：病歷摘要/醫療問答AI,智能客服：24H生成式AI郵件/聊天回覆；個人化購物推薦文案生成,公共安全：緊急應變知識問答機器人；消防法規自動查詢
10,中科一,AI 相關技術,永續發展與福祉,多模態人工智慧,Multimodal AI,-,FALSE,跨媒介資料融合,影像、文字、語音聯結,能同時處理並整合文字、圖像、音訊等多種感官數據的 AI。,提升環境感知能力,自動駕駛融合雷達與視覺、影片內容自動標註 。,氣象預報：自駕系統結合即時路面積水/能見度警示,智慧耕作：農場自駕拖拉機自動施肥/犁田,自駕與輔助：自駕公車測試、ADAS駕駛輔助、疲勞駕駛偵測（核心場景）,製程優化：工廠內自駕AGV物料搬運,半導體：自駕晶片研發驗證場景,智慧生活：配送無人車/電動輪椅自駕輔助,智慧消防：救災自駕機器人進入火場偵測
