no,q_id,difficulty,style,question,optA,optB,optC,optD,correctAns,explanation
1,1,1,基礎定義辨析 (Definition),關於「人工智慧」的基礎概念，下列哪項敘述最能精確區分其與傳統寫死程式碼 (Hard-coding) 的本質差異？,其行為由數據學習得出的特徵權重所驅動，而非預先定義的邏輯判斷。,其執行速度比傳統程式碼快，因為它使用了 GPU。,其不需要程式碼環境即可運行，完全依賴模型權重。,其邏輯完全透明，開發者可以追蹤每一行程式碼的走向。,A,正確答案是 (A)。這就是 AI 的核心定義。傳統程式是人寫規則，AI 是從資料學規律。
1,2,2,產業實務應用 (Industry),若在「醫療輔助診斷、自動駕駛 。」場景中導入「人工智慧」，考官認為哪一個環節最能展現出其「資料驅動」的商業價值？,透過對 醫療輔助診斷、自動駕駛 。 局部異常數據的細微捕捉，實現預測性優化或風險預警。,完全取代該場景的所有人工勞動，將人力成本降至零。,將該場景的所有數據進行永久備份，確保資料不遺失。,提升前端顯示的流暢度，讓使用者體驗更好。,A,正確答案是 (A)。AI 在 醫療輔助診斷、自動駕駛 。 的價值在於「洞察」與「預測」。
1,3,3,部署實務陷阱 (Pitfalls),在部署「人工智慧」模型於生產環境時，若遇到「資料分佈偏移 (Data Drift)」，考官認為下列哪項處置最為專業？,重新評估現有資料的分佈情況，並考量重新訓練或動態微調模型。,增加伺服器的 GPU 記憶體，以容納更多不同維度的數據。,停止所有 API 服務，直到模型準確率自行恢復。,在 Prompt 中加入更多的 Few-shot 範例，強行修正輸出。,A,正確答案是 (A)。訓練與實測資料不一致是 AI 失效的主因。加 VRAM (B) 或 Prompt (D) 都是治標不治本。
1,4,4,技術概念對比 (Comparison),考官將「人工智慧」與相似技術進行對比時，認為其最大的「結構性優勢」為何？,能更有效地處理非線性關係，並具有較強的特徵提取深度。,它需要的硬體規格極低，可以在計算機上輕鬆運行。,它不需要任何訓練資料，隨插即用。,它的解釋性非常高，每一個參數的物理意義都清晰可辨。,A,正確答案是 (A)。AI 優越處在於深層的非線性映射能力，但也犧牲了部分解釋性 (D)。
1,5,5,極限與邊界場景 (EdgeCase),在「數據量極端匱乏且標記極其昂貴」的對抗場景下，若仍需啟動「人工智慧」，考官會優先推薦哪一策略？,引進「遷移學習 (Transfer Learning)」或「少樣本學習 (Few-shot)」。,使用隨機生成的假數據填充，以達到模型所需的最低樣本數。,放棄深度學習架構，回歸到簡單的線性迴歸分析。,將所有未標記資料視為雜訊，並直接予以剔除。,A,正確答案是 (A)。沒資料時要借別人的大腦（預訓練權重），這是實務中最高頻的解決方案。
1,6,6,核心運作原理 (Mechanism),追溯「人工智慧」的底層數學或邏輯原理，其核心是透過「損失函數 (Loss Function)」最小化來達成什麼目標？,在參數空間中尋找一組權重，使預測分佈與真實分佈的差異降至最低。,在執行時間內，將運算週期壓縮到極限以節省電費。,在資料庫中完整映射所有可能的輸入與輸出對應關係。,將所有特徵向量轉為標量，以便於人類直觀閱讀。,A,正確答案是 (A)。機器學習就是在玩一場「找最低點（梯度下降）」的遊戲。
1,7,7,模型優化實作 (Implementation),在 MLOps 流程中，針對「人工智慧」的版本控制 (Versioning)，下列哪項是被公認為最標準的做法？,同時記錄「程式碼」、「超參數設定」與「訓練當時的資料快照」。,"僅需記錄最終產出的模型權重檔 (e.g., .pt 或 .h5)。",手動將每次更新的日期寫在檔名後面即可。,只要保存最後一次成功的對話紀錄即可。,A,正確答案是 (A)。可重現性 (Reproducibility) 是專業工程的靈魂。
1,8,8,倫理偏誤與安全 (Ethics),當「人工智慧」因訓練數據中隱含的群體偏見而導致輸出出現歧視時，考官認為這是源自於 AI 的哪種性格？,演算法的「數據共鳴 (Data Echo)」，其誠實地反映了現實數據的汙點。,硬體的運算錯誤，導致某些族群的數值被忽略。,模型的「主動敵對意識」，試圖挑戰人類的道德規範。,開發者的編程疏失，漏寫了反歧視的程式碼段落。,A,正確答案是 (A)。AI 沒感情也沒意識，它只是個鏡子。我們要改善的是資料 (A)，而不是責怪硬體 (B)。
1,9,9,故障排除診斷 (Troubleshooting),若「人工智慧」在訓練期間出現「驗證準確率高，但實際測試卻極差」的現象，這就是考官所謂的？,過度擬合 (Overfitting)；模型只學會了死記硬背訓練樣本。,硬體運算單元毀損；輸出導致了隨機的垃圾訊號。,通訊協定錯誤；API 資料在傳輸過程中發生了位元偏移。,模型容量不足 (Underfitting)；它根本沒學會任何特徵。,A,正確答案是 (A)。這是在考「泛化能力」。死背書的結果就是考卷沒看過就不會寫。
1,10,10,未來趨勢演進 (Future),展望未來，如何讓「人工智慧」具備更長期的『推理一致性』並減少『災難式遺忘』？這涉及了哪一種高階研究方向？,持續學習 (Continual Learning) 與具備外部工作記憶的架構。,增加處理器的核心數，利用暴力計算壓制所有邏輯遺漏。,開發更複雜的 UI 介面，讓使用者感覺模型變聰明了。,停止所有微調流程，永久封鎖模型的權重更新功能。,A,正確答案 is (A)。解決遺忘 (A) 是邁向通用人工智慧 (AGI) 的關鍵門檻。
